region,listing_no,listing_title,point_name,point_type,latitude,longitude,os_grid_ref,access_notes,description,category
The Paris Meridian and the North,5,Notre-Dame de Liesse,Notre-Dame de Liesse,main,49.6100,3.8039,,,"Named for its celebrated Black Madonna carved from black ebony, the basilica of Our Lady of Joy in Liesse-Notre-Dame – the town named after her – has been the focus of pilgrimage for 900 years. In the Middle Ages its shrine was one of the most important in France, and from the early 15th century three French kings made pilgrimages there. Worshippers pray to Notre-Dame-de-Liesse for the relief of all ailments and misfortunes but, like so many Black Madonnas in France, her statue is a 19th century replica. The original was burned during the French Revolution but its ashes are now in a church in Montreal, Canada. The Black Madonna is at the heart of the town's foundation legend, that of Isméria and the three Knights of Eppes. Isméria was an Egyptian princess, daughter of the Sultan of Cairo. Some have seen her name as a conflation of Isis and Mary, personifying the divine feminine. During the Crusades three brothers, all Knights Hospitaller and sons of the Lord of Eppes, were taken prisoner. The Sultan sent his daughter to try to convert them to Islam but the Virgin Mary appeared to the knights who carved a statue of her for Isméria. The Virgin then appeared to the princess in her sleep, winning her over to Christianity and she resolved to escape with the knights, taking the statue with her. Miraculously, the gates of the prison opened, then after falling asleep exhausted, the four awoke to find themselves back in France, by a spring some 7km from the brothers' home in Eppes. Vowing to build a chapel in the Virgin's honour in thanks for their miraculous deliverance, they started out for their father's castle but after a short distance the statue became too heavy to carry and the knights realised the Virgin had chosen her own site. The brothers built the chapel to house Notre-Dame de Liesse in 1134, on the site now occupied by the Basilica. Isméria was baptised in nearby Laon Cathedral, taking the name Marie, and married one of the brothers. After the chapel was built the spring's waters were found to be healing. Now known as the Fontaine Miraculeuse, it's on the edge of town 300m from the basilica. The well-shrine housing the spring, topped with a statue of the Virgin and Child, is usually locked but there are two taps nearby from which the water can be drawn, though a notice advises they are only for the use of pilgrims. Beside the spring is the Chapelle Santa Casa (Holy House), a replica of the Virgin Mary's house at Loreto, the site of another famous Black Madonna. Inside is a fresco depicting the legend of Isméria and the Knights of Eppes.",sacred buildings
The Paris Meridian and the North,5,Notre-Dame de Liesse,Fontaine Miraculeuse,nearby_feature,49.6110,3.7998,,"edge of town, 300m from the basilica; well-shrine usually locked","Now known as the Fontaine Miraculeuse, it's on the edge of town 300m from the basilica. The well-shrine housing the spring, topped with a statue of the Virgin and Child, is usually locked but there are two taps nearby from which the water can be drawn, though a notice advises they are only for the use of pilgrims.",wells
The Paris Meridian and the North,5,Notre-Dame de Liesse,Trailhead Parking,trailhead,49.6093,3.8033,,150m,Trailhead / parking for Notre-Dame de Liesse (150m).,sacred buildings
The Paris Meridian and the North,6,"Hottée de Gargantua, Molinchart",Hottée de Gargantua,main,49.5569,3.5425,,,"This rock chaos, forming a hill-like mound, is said to have fallen from a basket on Gargantua's back when he was building the Butte de Laon (Laon's Mound). The tumble of gigantic boulders is now overgrown with trees and shrubs and crisscrossed by small paths through the undergrowth. According to the legend, the giant was standing with one foot on the Butte de Laon 5km to the east and the other on the hill of Saint-Gobain 12km to the west. Rather drunk at the time, Gargantua was startled by a flash of lightning and fell backwards, spilling his load. As he strode off, a cast-off stone formed the Vierzieux de Gargantua 23km away. Saint-Gobain, where Gargantua's left foot was placed, is named after the 7th-century Irish saint who was martyred in his hermitage in the nearby forest. As a result, the town later became a place of pilgrimage.",natural stones
The Paris Meridian and the North,6,"Hottée de Gargantua, Molinchart",Saint-Gobain,nearby_feature,49.5967,3.3758,,12km west of the Hottée,"Saint-Gobain, where Gargantua's left foot was placed, is named after the 7th-century Irish saint who was martyred in his hermitage in the nearby forest. As a result, the town later became a place of pilgrimage.",hills
The Paris Meridian and the North,6,"Hottée de Gargantua, Molinchart",Trailhead Parking,trailhead,49.5600,3.5403,,400m,Trailhead / parking for Hottée de Gargantua (400m).,natural stones
The Paris Meridian and the North,7,Laon,Laon (Parking),main,49.5638,3.6293,,Parking,"One of France's most historic cities, Laon is spread around a 100m high mound, the Butte de Laon, which dominates the surrounding Picardy Plain and is said to have been created by the giant Gargantua (see Hottée de Gargantua). There's been a settlement on the site since the Gallo-Roman era. Towering over the city is Laon Cathedral, work on which began in 1150. Featuring the skilfully carved stonework typical of Gothic architecture, Laon's decoration is unusual in that farm animals feature prominently. Most striking are six life-sized bulls commemorating the legend of the cathedral's building. When the oxen carrying the stone up the steep hill were exhausted and unable to carry on, a huge white bull miraculously appeared to pull the cart to the summit. There's much of Laon's medieval past to be seen in the old city around the cathedral, including the ramparts, gates and towers of the Citadelle de Laon. The Knights Templar (Templiers) were a major presence in medieval Laon, you can visit the small but elegant Chapelle des Templiers dating from around 1140 and dedicated to St John the Baptist. As with many Templar churches, its octagonal form reflects that of the Holy Sepulchre in Jerusalem. The adjacent buildings of the former Templar commandery now house Laon's Art and Archaeology Museum, which displays artefacts from all eras of the region's past as well as a collection of Mediterranean antiquities. One of the most impressive of Laon's many churches lies on the edge of the city. The Église Abbatiale Saint-Martin was built at the same time as the Cathedral and was originally part of an abbey.",hills
The Paris Meridian and the North,7,Laon,Laon Cathedral,nearby_feature,49.5642,3.6250,,,"Towering over the city is Laon Cathedral, work on which began in 1150. Featuring the skilfully carved stonework typical of Gothic architecture, Laon's decoration is unusual in that farm animals feature prominently. Most striking are six life-sized bulls commemorating the legend of the cathedral's building. When the oxen carrying the stone up the steep hill were exhausted and unable to carry on, a huge white bull miraculously appeared to pull the cart to the summit.",sacred buildings
The Paris Meridian and the North,7,Laon,Citadelle de Laon,nearby_feature,49.5647,3.6297,,"ramparts, gates and towers","There's much of Laon's medieval past to be seen in the old city around the cathedral, including the ramparts, gates and towers of the Citadelle de Laon.",other
The Paris Meridian and the North,7,Laon,Chapelle des Templiers,nearby_feature,49.5631,3.6272,,adjoins Laon's Art and Archaeology Museum,"The Knights Templar (Templiers) were a major presence in medieval Laon, you can visit the small but elegant Chapelle des Templiers dating from around 1140 and dedicated to St John the Baptist. As with many Templar churches, its octagonal form reflects that of the Holy Sepulchre in Jerusalem. The adjacent buildings of the former Templar commandery now house Laon's Art and Archaeology Museum, which displays artefacts from all eras of the region's past as well as a collection of Mediterranean antiquities.",sacred buildings
The Paris Meridian and the North,7,Laon,Église Abbatiale Saint-Martin,nearby_feature,49.5625,3.6119,,on the edge of the city,The Église Abbatiale Saint-Martin was built at the same time as the Cathedral and was originally part of an abbey.,sacred buildings
The Paris Meridian and the North,8,"Vierzieux de Gargantua, Bois-lès-Pargny",Vierzieux de Gargantua,main,49.7511,3.6544,,,"This striking menhir, 4.35m high and broken at the tip, is said to have been a stone Gargantua retrieved and cast out from his shoe as he left the Hottée de Gargantua. The megalith's name means 'whetstone' in the local dialect and refers to a second legend of a different giant who used it to sharpen his scythe. It now stands in an isolated location on the edge of farmland and can be reached by a rough farm track. It's little visited although there's a sign in the nearby village of Bois-lès-Pargny.",standing stones
The Paris Meridian and the North,8,"Vierzieux de Gargantua, Bois-lès-Pargny",Trailhead Parking,trailhead,49.7502,3.6533,,125m,Trailhead / parking for Vierzieux de Gargantua (125m).,standing stones
The Paris Meridian and the North,9,Abbaye d'Orval,Abbaye d'Orval,main,49.6397,5.3489,,€,"Mystery surrounds the origin and much of the history of this famous abbey at Orval, just a kilometre over the border into Belgium and set in the Ardennes Forest. In 1070 a small group of monks arrived here from Calabria in the far south of Italy. At what was then a very remote and isolated spot, they built a chapel in a valley close to a sacred spring with a pool. Soon after, the area was visited by Matilda of Tuscany, one of the most powerful rulers of the period who possessed territory in Lorraine. According to legend, she lost her wedding ring in the pool and, distraught, went into the chapel to pray for its return. A trout then surfaced holding the ring in its mouth and Matilda declared 'This is truly a golden valley' ('val d'or' in French), giving Orval its name. In gratitude, she donated money to the chapel for the monks to found a monastery and the trout and ring still feature on the abbey's coat of arms. However, the Italian monks didn't stay long, leaving the site for unknown reasons after about 40 years. The site was handed over to the Augustinian Order but very soon after the monks decided to switch to the Cistercian Rule. In response, the celebrated St Bernard of Clairvaux, head of the growing Cistercian order, sent seven monks there, after which the monastery expanded rapidly. Bernard was one of the most influential figures of his time but also one of the most enigmatic. He had a special reverence for Black Madonna sites as well as for the divine feminine aspects of religion, and famously championed the newly-formed Knights Templar. Many have seen connections between such powerful individuals and organisations, believing they were all working to a co-ordinated plan of which Orval was the centre. According to some, one of the original group of Orval monks was Peter the Hermit, one of the preachers who is said to have instigated the First Crusade. It's also been suggested that Orval Abbey guarded potent secrets, and even that Nostradamus later learned his powers of prophecy from an ancient book kept in the abbey's extensive library. Whatever the truth of these theories and conjectures, Orval's fame as a religious centre grew over the centuries until the French Revolution, when the abbey was looted and burned. Abandoned by the monks, it remained in ruins until 1926, when work began to resurrect the monastery. Over the next 20 years it rose to become a magnificent edifice, the exterior dressed in colossal statues reminiscent of Egyptian temples. However, the modern abbey can only be viewed from a distance as the areas occupied by the monks are off limits. Visitors are allowed to wander around the ruins of the original abbey, where they can also see the circular pool and flowing waters of the magical Fontaine Mathilde, which commemorates Matilda's legend. There's also a museum and a garden of medicinal plants, as well as a shop where the famous beer brewed by the monks can be bought.",sacred buildings
The Paris Meridian and the North,9,Abbaye d'Orval,Fontaine Mathilde,nearby_feature,49.6404,5.3480,,within the ruins of the original abbey,"Visitors are allowed to wander around the ruins of the original abbey, where they can also see the circular pool and flowing waters of the magical Fontaine Mathilde, which commemorates Matilda's legend.",wells
The Paris Meridian and the North,9,Abbaye d'Orval,Trailhead Parking,trailhead,49.6378,5.3478,,100m,Trailhead / parking for Abbaye d'Orval (100m).,sacred buildings
The Paris Meridian and the North,10,"Notre-Dame d'Épine, Avioth",Notre-Dame d'Épine,main,49.5667,5.3914,,,"The reputation of this pleasant village is far greater than its size, owing to the Black Madonna discovered in a thorn bush (épine) in the 12th century. Each time it was moved the statue would disappear only to be found back in the same spot, which was taken as a sign that the Virgin desired a chapel to be built there. A pilgrimage was soon established in honour of Notre-Dame de l'Épine and its importance grew when St Bernard of Clairvaux, a great supporter of Black Madonna sites, came to preach at Avioth. As pilgrim numbers increased, the chapel was replaced by a church and finally, in the 14th century, by today's grand basilica. As with many Black Madonnas, the face and hands were painted a lighter skin tone in the 19th century, when the child was also added. Some researchers considered the statue to be the Gallic fertility goddess Rosmerta, linking it to a spring beneath the basilica believed to cure infertility in women. Statues of this goddess have also been found at Sion-Vaudémont. The basilica was also a rare 'sanctuaire à répit' ('reprieve sanctuary') where stillborn children were brought to be baptised, before being buried in a special area of the cemetery. Outside the basilica, the spot where the Black Madonna was discovered is marked by a singular structure, a carved stone monument known as La Recevresse (The Receiver). A statue of the Virgin was placed inside so that offerings could be left there by pilgrims. She became known as the 'Vierge Recevresse', and the name was transferred to the monument.",sacred buildings
The Paris Meridian and the North,11,"Crypte Saint-Dagobert, Stenay",Crypte Saint-Dagobert,main,49.4921,5.1886,,Guided Tour Only; € By Donation,"This dark and atmospheric underground gallery that preserves monuments to one of French history's most enigmatic figures is an unexpected find. Located in the basement of a very ordinary apartment block in the centre of the town of Stenay, it houses an exhibition run by the Cercle Saint Dagobert II, an organisation dedicated to preserving and promoting the memory of this elusive king and martyr – the most mysterious of the Merovingian kings. Above the stairway down to the basement is the stone relief of a bee, the symbol of this dynasty of Kings of the Franks, a Germanic people who between the 5th and 8th centuries extended their rule over vast areas of Europe. They hold a key place in France's national mythology as the founders of what was to become the French nation. Dagobert II reigned over one of the Merovingian kingdoms, Austrasia, which covered today's northern France and parts of Belgium, the Netherlands and Germany. Little is known historically of his life and short reign, although plenty of myths and legends have surrounded Dagobert on account of his assassination following a conspiracy to overthrow him. The king was killed on 23 December 679 when hunting in the Forêt de Woëvre, around 10km from Stenay, According to local tradition, Dagobert's tomb was discovered beneath Stenay's church in 872. He was declared a martyr saint and the church was rededicated to him and raised to the status of a basilica. Dagobert's relics were displayed there and are said to have repelled a Viking invasion shortly afterwards. However, they were dispersed when the basilica was ransacked during a war in the 16th century, and the building itself was later destroyed. When the entrance archway to the church was discovered during excavations in 1972, it was moved stone by stone and reassembled in the basement by the Cercle Saint Dagobert II. Above the arch is a carved image of Dagobert and the crypt also houses another stone depicting his assassination. In recent decades new theories have arisen that consider the Merovingians to be a sacred bloodline, and Dagobert II's murder an attempt to extinguish it. The most widespread theory is that the Merovingians were descended from the children of Jesus and Mary Magdalene, with the Holy Grail representing their bloodline. A bestselling book called The Holy Blood and the Holy Grail sets out the theory in great detail. The spot said to be where Dagobert was assassinated is marked by a stone near the Fontaine Saint-Dagobert, deep within the Woëvre Forest. Visitors still make the trip to honour the king-saint. Crypte Saint-Dagobert, 3 Place Raymond Poincaré, Stenay. Guided tour only, € by donation.",sacred buildings
The Paris Meridian and the North,11,"Crypte Saint-Dagobert, Stenay",Fontaine Saint-Dagobert,nearby_feature,49.4335,5.2855,,deep within the Woëvre Forest,"The spot said to be where Dagobert was assassinated is marked by a stone near the Fontaine Saint-Dagobert, deep within the Woëvre Forest. Visitors still make the trip to honour the king-saint.",wells
The Paris Meridian and the North,11,"Crypte Saint-Dagobert, Stenay",Trailhead Parking,trailhead,49.4924,5.1893,,80m,Trailhead / parking for Crypte Saint-Dagobert (80m).,sacred buildings
The Paris Meridian and the North,11,"Crypte Saint-Dagobert, Stenay",Trailhead (Fontaine Saint-Dagobert),trailhead,49.4384,5.2449,,3.25km,Trailhead / parking for Fontaine Saint-Dagobert (3.25km).,sacred buildings
The Paris Meridian and the North,12,"Roche des Fées, Lafrimbolle",Roche des Fées,main,48.5840,7.0378,,,"An impressive rock formation with huge stone pillars forming arches enclosing a cavernous space, this certainly bears an uncanny resemblance to a fairies' grotto hidden in the deep forest. Just 500m north are the evocative ruins of the Château de Turquestein, once considered impregnable. Perched on a curious conglomerate rock formation the scattered vestiges of this castle are now cloaked by thick forest. The castle was built around 960 to guard the route to Mont Donon, 12km to the southeast, and remained unchallenged for centuries until it was destroyed on the orders of Cardinal Richelieu in 1634 as part of his campaign to reduce the power of the nobility. As the Roche des Fées and the Château de Turquestein are both completely hidden within the forest they are hard to find and not signposted. They can be accessed in a high-clearance vehicle from the Chemin de la Forêt in Lafrimbolle, followed by a short hike; otherwise a longer hike from Lafrimbolle.",natural stones
The Paris Meridian and the North,12,"Roche des Fées, Lafrimbolle",Château de Turquestein,nearby_feature,48.5881,7.0381,,"500m north; hidden in forest, not signposted","Just 500m north are the evocative ruins of the Château de Turquestein, once considered impregnable. Perched on a curious conglomerate rock formation the scattered vestiges of this castle are now cloaked by thick forest. The castle was built around 960 to guard the route to Mont Donon, 12km to the southeast, and remained unchallenged for centuries until it was destroyed on the orders of Cardinal Richelieu in 1634 as part of his campaign to reduce the power of the nobility.",other
The Paris Meridian and the North,12,"Roche des Fées, Lafrimbolle",Trailhead Parking,trailhead,48.5863,7.0377,,300m,Trailhead / parking for Roche des Fées (300m).,natural stones
The Paris Meridian and the North,12,"Roche des Fées, Lafrimbolle",Trailhead (Lafrimbolle),trailhead,48.5941,7.0161,,3km,Trailhead / parking for Roche des Fées (3km).,natural stones
