Name,Description,Lat/Lng,Tags,Region,Listing no
Hallsands (Start Bay),"Clinging to the cliff-side, just off the South West Coast Path, the crumbling shells that once made up the houses of Hallsands act as a stark reminder of the potentially destructive power of our weather. It is not possible to walk among the buildings at Hallsands but the village can be seen from a viewing platform near Trouts Apartments at South Hallsands. Afterwards, head up the coast to the Rocket Café at the Seabreeze B&B (seabreezebreaks.com/cafe) at Torcross. It serves excellent coffee and pancakes. Hallsands ruins are on the South West Coast path between Slapton and Start Point. Join the A379 at Dartmouth or Kingsbridge and make your way to Stokenham. At mini roundabout follow signs to Prawle and Beesands. Follow Cycle Route 2, branch off at signs to Start Point and Hallsands. Continue to Bickerton then turn right to follow signs to South Hallsands. Reasonably sized car park 50.2377,-3.6598. Follow coast path to viewing point.","50.2364, -3.6591","[""Close to parking"", ""UNKNOWN:I"", ""Foraging"", ""Dangerous"", ""Lovely walk"", ""Cycle path"", ""UNKNOWN:K""]",Devon,1
Newquay (Morwellham),"As you fight your way through dense thicket to reveal the deserted settlement of Newquay it feels as if you are unearthing a lost civilisation, forgotten in time among the wild jungle of Devon. Compared with the vibrant, active open air museum of Morwellham Quay, its ruinous neighbour feels forgotten and unloved. Newquay was once a thriving port, shipping raw material from the local mines. At its height in the mid-19th century it was a bustling village with an inn and a number of dwellings. The port was abandoned in the early 20th century but its last inhabitant didn’t move out until the 1950s. You can access the site by many routes. Take footpath from Gawton to the S or, for a longer walk, head to the Tamar Trails Centre which has a flyer of walks in the area (PL19 8JE, adjacent to Tavistock Sawmills 50.5325, -4.2035). From Morwellham (admission fee) walk down the railway line (talk to engine driver first to ensure safe route), continue to end of track and walk through the trees until you see the buildings. Please note the ruins are on private land so observe from footpath.","50.5062, -4.1819","[""UNKNOWN:I"", ""Modern ruin"", ""Cycle path"", ""Foraging"", ""Dangerous""]",Devon,2
St Andrew’s Church (South Huish),"The 13th-century church at South Huish is tucked away down a snaking mass of lanes, flanked by high banked Devon hedges. In spring the lanes are full of primroses, a delicate, edible flower and the floral symbol for Devon. Visit later in the year, from early summer onward, and you’ll find the church sprouting flowering red valerian. The church is run by the ‘Friends of Friendless Churches’ who preserved it as the stable ruin you see today. Although the church began life in the 13th century much of it was built later, in the 15th. As the population of South Huish moved away to nearby Galmpton the church fell into ruin. By 1866 it was abandoned and a new church was built at Galmpton. About 3 miles cycle from Salcombe or 1½ from Malborough village down the lanes. In peak season these lanes get busy and despite there being a small pull-in at the site, it is likely to be taken. The site is therefore best visited on foot or bicycle. From the coast path, head in at Woolman Point on the lanes, until a footpath cuts towards South Huish at Galmpton.","50.2555, -3.8318","[""Lovely walk"", ""Cycle path"", ""Religious site""]",Devon,3
Cornworthy Priory (Tuckenhay),"From its position down a mass of high-hedged Devon lanes, the sleepy village of Cornworthy is almost completely hidden from the outside world. At the top of the village, at the end of a fairly unassuming field, is the large gateway arch of Cornworthy Priory. This was once the largest building in the parish and home to 13 Augustinian nuns. By the time of the Dissolution of the Monasteries in the 16th century there were only around seven in residence, well below the required amount, which may in part have been due to its isolated location. If heading north on A381, about ½ mile S of Harbertonford take R towards Cornworthy and Washbourne. Cross river and turn L, signed Cornworthy. Continue about 1 mile, straight past turn to Tuckenhay. Stay on L fork until you see the priory in front of you. To park, continue on L fork, Abbey Rd, to pull-in at 50.3892, -3.6566. The priory is accessible via gate in hedge.","50.3884, -3.6587","[""Dramatic"", ""Lovely walk"", ""Cycle path"", ""Religious site""]",Devon,4
Hound Tor Village (Widecombe In The Moor),"High on the moors, the foot-high remains of this deserted medieval settlement are clearly visible among the ferns, foxgloves, bilberries and heather. The walk over the tor is invigorating, although not as challenging as many in the region. During the 1300s the climate in this part of the world gradually got wetter and wetter. The inhabitants of the village must have found life increasingly challenging. They would no longer be able to dry grain in the sun; instead they built large kilns to dry it in the heat of a fire. This would have added to their workload as the kilns needed constant monitoring and maintenance. The extra workload must have made life for the residents of Hound Tor feel like drudgery. The village was abandoned by the early 15th century, with the residents perhaps moving to better land that had become available after rural depopulation caused by the Black Death, which ravaged Devon in the 1300s, killing more than a third of the population. Hound Tor is signed of the B3387 between Widecombe in the Moor and Haytor. Follow road past tor on your right to parking at 50.598901, -3.782270. From here head up and over Hound Tor. Follow path from the top to the village. It is part-signposted but for the other part you will have to follow your nose.","50.5951, -3.7728","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted"", ""Cycle path"", ""English Heritage""]",Devon,5
"Grimspound Village (Postbridge, Yelverton)","Grimspound is reportedly one of the oldest settlements on Dartmoor. Here are the remains of 24 dwellings. They are surrounded by a stone perimeter boundary which may have acted as a way of keeping livestock in and predators out. Little is known about the inhabitants but around the time of settlement in 1300BC the population would have almost certainly been a farming one. It is thought that the name ‘Grim’ is an AngloSaxon derivative of Odin or Woden, the god of war. Take B3212 N of Two Bridges for about 7½ miles (through Postbridge), then R at Challacombe Cross. Pass Hookney Tor and park by road at 50.6131,-3.8429. Follow footpath to the site.","50.6131, -3.8377","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Wild flowers"", ""English Heritage""]",Devon,6
Foggintor Quarry (Princetown),"Even on a misty day Foggintor quarry has a stark beauty to it. The grey rock of the area seems to mimic descending clouds giving the area an otherworldly appearance. On a sunny day the rocks reflect the light and the area comes into its own. Buzzards will often circle overhead on thermals looking for mice and small animals to eat. On a hot day you may find lizards and adders warming themselves on the rocks in the sun. For walkers, the quarry it is on the route of the 90-mile circular Dartmoor Way. The 10-mile linear walk between Princetown and Tavistock, taking in both Foggintor and Sweltor quarries, makes a good outing (but if you want to get the bus back do check times first as they are infrequent). For a shorter walk to Foggintor, take the two-mile walk from the National Park visitor centre (Tavistock Road, Princetown, Yelverton, PL20 6QF). Take B3357 W towards Tavistock from Two Bridges. Go past Princetown turning and park in small car park on L past boarded up house at 50.5568, -4.0238. Walk up track past Yellowmeade Farm to quarry.","50.5492, -4.0254","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""UNKNOWN:1""]",Devon,7
Leather Tor Farm (Near Yelverton),The moss-covered ruins of Leather Tor Farm lie hidden amongst the trees a short walk away from Burrator Reservoir. An older building predated the ruin which was thought to have been built during the mid to late 19th century. The owner would have been forced to leave when Burrator Reservoir was created in the 1920’s. Just off footpath E of Leather Tor. Park in car park off B3212 and walk down or follow path N from top end of Burrator Reservoir.,"50.5106, -4.0226","[""Good for picnics"", ""Lovely walk"", ""Foraging"", ""Dangerous"", ""Ghosts/haunted""]",Devon,8
Whiteworks Mine (Yelverton),"The old tin mine of Whiteworks is in a very isolated site location, well worth the walk or drive down the single-lane track. There are numerous earthworks and stone remains around the site with many of the walls now covered in moss and wild plants. Whiteworks feels remote and off the beaten track making for a quiet, contemplative place to visit. Its mine shafts mean it isn’t suitable for younger visitors. Follow Tor Royal Lane out of Princetown to the E dropping S. The tin mine is at the end of lane about 2 ½ miles down.","50.5234, -3.9584","[""Modern ruin"", ""Foraging"", ""Ghosts/haunted"", ""Lovely walk"", ""Cycle path""]",Devon,9
Okehampton Castle,"The remains of the largest castle in Devon, Okehampton is worth the diversion off the A30. Its position on the banks of the river, surrounded by meadow and woodland walks make it the perfect spot for an afternoon stroll followed by a summer picnic. It is a steep climb up to the castle but once up there the views are stunning. It is home to one of the area’s most notable ghost stories: that of Mary Howard who lost four husbands in suspicious circumstances. It is said she is cursed to ride a coach driven by a headless driver along the road to Tavistock. Okehampton castle is well signed by English Heritage. It is ½ a mile W of town centre down Castle Rd by the post office. On-site parking is limited and it is only a short walk from the town.","50.7308, -4.0082","[""Good for picnics"", ""Close to parking"", ""Difficult path"", ""Dramatic"", ""Lovely walk"", ""English Heritage"", ""Pay to enter""]",Devon,10
Holy Trinity (Buckfastleigh),"It is said that Satan was kept away from this church by the building of the 196 steps to access it (presumably there is no gym in Hell). Holy Trinity is perhaps the most unlucky ruin I have come across; it was damaged by arson in 1849, then lightning in 1884, the stained glass windows were damaged by a nearby bomb in the Second World War and then finally in 1992 arsonists struck again and the church was gutted. By far the best way to visit Buckfastleigh is to come via Totnes on the steam railway. It is about 20-30 minute walk to the church via the town centre. You’ll find some pretty good chips in the town of Buckfastleigh and of course Buckfast Abbey, famed for its ‘tonic’ drink, is a short walk via road and footpath from the ruined church. The famous steep steps to the church are opposite Station Road car park, behind a one way sign. Once you are up the steps it leads to a path and through a kissing gate.","50.4854, -3.7748","[""Good for picnics"", ""Lovely walk"", ""Amazing wildlife"", ""Dangerous"", ""Foraging"", ""Religious site""]",Devon,11
Wheal Betsy (Tavistock),"Depending on what angle you look at it, Wheal Betsy looks like any other engine house. However, as you walk towards it, you realise why it has been dubbed ‘the leaning tower of Dartmoor’. This tell-tale lean was as a result of the building’s exposed position on windswept Dartmoor. The National Trust now owns the site and has secured the structure to ensure the lean doesn’t lean any more than it needs to! Head N on A386 from Tavistock for 5 miles. 1 mile after Mary Tavy there is a layby at 50.6136, -4.1083. Park and walk down to the tower, visible from the road. 1-2 mins moderate walk.","50.6131, -4.1071","[""Good for picnics"", ""Close to parking"", ""Modern ruin"", ""Dramatic"", ""Lovely walk""]",Devon,12
Bleak House (Lydford),"Despite its name Bleak House can be a pleasant hike across the moors on a sunny day. This was the old site manager’s house for the Rattlebrook peat works. The site operated for around 30 years in the early part of the last century. An old railway once served the site, the path of which can be walked along today. From the R of the car park of the Dartmoor Inn, on the A386 at Lydford (EX20 4AY), take a short track NE to a car park. Continue on this track to a footpath, cross the ford and stay on the path heading E to Dicks Well (look out for the boundary stone). Head E, then N on this path for about ½ mile, then cross the river to the ruined house. 2½ miles, 1-1½ hours strenuous walk.","50.6601, -4.0391","[""Modern ruin"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Ghosts/haunted""]",Devon,13
Down House Cottages (Saunton Sands),"On a sunny day the view from Down House Cottages over Saunton Sands beach is quite unbeatable. From this vantage point, you get a bird’s eye view of the shore and the dunes that helped this area to become one of the country’s first designated Biosphere Reserve. From the entrance to Saunton Sands Hotel turn left and head up the path through the woods rather than the coast path. The ruined cottages are on the left as you emerge into the field. Afterwards, you can walk through the field and down to re-join the coastal path. The farm cottages, or Down House Cottages as they are known locally, were inhabited right up until the early 20th century. As they are unsecured ruins, take care when exploring. For a resort its size Saunton Sands has been host to a more than its fair share of newsworthy incidents including at least two large beached whales (one 50 feet long), an emergency plane landing and a number of shipwrecks. It was even home to a camel train during a 1930s film shoot. For a spot of luxury, pop into Saunton Sands Hotel for a tea or coffee on the patio overlooking the beach, or if you are feeling flush the evening menu always has plenty to offer; reservations recommended 01271 890212. Saunton Sands is on the B3231, 3 miles W of Braunton. Park in public car park next to Saunton Sands Hotel.","51.1203, -4.2190","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Foraging""]","Exmoor, Somerset and West Dorset",1
Willett Tower (Elworthy),"The walk up to Willett Tower is still as beguiling as it would have been when it was built. During the month of May is the best time to visit as this ‘ruin’ stands tall from a bluebell wood surrounded by the blossoming hawthorn. Built in the late 18th century, it would have very much been inspired by fashion of the day for romantic ruins. It is not, as it seems to be, a ruined church tower. It is nothing more than an extravagant garden ornament built to look like a decaying structure on top of a hill. Off the B3224, just E of Elworthy. From Elworthy, look for the Forestry Commission’s Willett Hill car park shortly on the L. Park, and follow winding track, turn R when half way up and walk up footpath to crest of the hill.","51.0939, -3.2926","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""Dangerous"", ""UNKNOWN:7""]","Exmoor, Somerset and West Dorset",2
St Gabriel’s Chapel (Near Chideock),"This is a picture postcard ruin with sweeping views of the Dorset Hills and coastline. On a sunny day the walk over Golden Cap hill is a pleasant amble. The church is said to have been built by a shipwrecked newly-wed who, after praying to St Gabriel during a two-day storm, landed on the coast here. Sadly his wife died shortly after they landed but the groom, Bertram, built the chapel in honour of the saint. During the mid-19th century the church was no longer used for religious purposes but as a warehouse for smuggled goods such as tobacco and French silk. Turn off the A35 at Chideock (W of Bridport) follow road to the coast towards Seatown and park at coast car park 50.7166 -2.7838. From here follow the coast path W for approx. 1½ miles over Golden Cap before dipping down to the chapel (signposted). Alternatively there are footpaths and a map of the area from the National Trust car park at Langdon Hill 50.7343, -2.8339.","50.7282, -2.8485","[""Modern ruin"", ""Lovely walk"", ""Dramatic"", ""Dangerous"", ""Foraging""]","Exmoor, Somerset and West Dorset",3
Brean Down Fort (Brean),"Brean Down Fort sits strategically on top of a rocky outcrop, offering views right down the Bristol Channel. It is often referred to as one of Palmerston’s follies. These were not true follies, but a group of forts commissioned by prime minister Lord Palmerston in the 1860s. They were built at great expense, to protect Britain from the French fleet. However, by the time they were finished, not only were their weapons out of date but the threat from the French had largely passed. The fort was used again in the Second World War when lots of concrete was unsympathetically used to strengthen the fort’s defences. A walk up the Down is an invigorating climb, and from the top you will be rewarded with views over the Bristol Channel towards south Wales and inland over the Somerset Levels. Head north from Brean on Church/Warren Rd. A National Trust car park is at the end of the road. The fort is a mile from here at the end of the Down. The steps up to the Down are the hardest part, otherwise it is a reasonable walk. Brean is on the 21 bus route from Weston-super-Mare.","51.3256, -3.0290","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Foraging""]","Exmoor, Somerset and West Dorset",4
Fussells Iron Works (Mells),"Hidden in the woods near the picturesque village of Mells, the sprawling ruin of Fussells iron works stretches out across the banks of the river. There is an odd romance about the site. It is no place for an unaccompanied child but exploring the stairways leading nowhere, its abandoned machinery and mossclad walls make it a place to rediscover the child within you. Iron was worked here since 1744 and prospered for a number of years making ‘edge’ tools such as spades and scythes along with other agricultural equipment. When English agriculture and the iron trade both went into decline in the late 19th century, the company went bankrupt and in 1894 the site was forced to close. In summer cherries and wild strawberries grow by the side of the path. From the village shop in Mells walk E towards Great Elm on the middle of the three roads. The footpath is ¼ mile on the right. Room for one car or park in village.","51.2386, -2.3750","[""Fun for kids"", ""Modern ruin"", ""Dramatic"", ""Foraging"", ""Lovely walk"", ""Cycle path""]","Exmoor, Somerset and West Dorset",5
St Michael’s Chapel (Braunton),"The chapel, built in the 15th century, once served fishermen and sailors. Across the years many have spotted the same, white, clerical figure moving through the ruins of the chapel. Trying to cash in tales of this shadowy spectre a local photographer faked a series of photos and sold them to unsuspecting locals. From the town centre, head E on East St, continuing into North Down Rd. 1st L to Sylvan Dr, 1st R to Hazel Ave. Park where you can. Follow path up hill at end of Havel Ave, a 10 min moderate-to-difficult walk. A sign rather ambiguously states “When gate is closed there is no entry to the Chapel”, but there is no information on opening times.","51.1152, -4.1566","[""Good for picnics"", ""UNKNOWN:I"", ""Religious site""]","Exmoor, Somerset and West Dorset",6
Conygar Tower (Dunster),"Conygar tower is a huge three-storey folly tower at the top of a wooded hill near the town of Dunster. The climb to the base of the tower is steep but pleasant and you’ll pass two more folly ruins, those of a ‘ruined’ gatehouse, on the way. Landowner and MP Henry Fownes Luttrell of Dunster Castle had Conygar tower built in 1775. It was one of a series of improvements he made to the castle and the estate. The tower was designed as a decorative folly in order to improve the views from the castle. Park in Dunster National Park car park (51.1853, -3.4423). Walk to the information centre, following pavement for 30 metres, then cross to head up small path adjacent to St Thomas Street. You will see the tower from the car park on a wooded mount opposite. Cross road and head up the path. You can walk straight to the tower 10 minutes moderate to strenuous or take an hourlong circular walk taking in the gatehouse arches to the west of the tower. Conygar is off the Macmillan Way West.","51.1870, -3.4441","[""Good for picnics"", ""Close to parking"", ""Dramatic"", ""Lovely walk"", ""Foraging"", ""UNKNOWN:7""]","Exmoor, Somerset and West Dorset",7
Burrow Farm Engine House,"Today in the Brandon Hills, all you will hear is the odd tractor, the distant baa of sheep or a gentle breeze rustling through the trees. There is little to indicate the bustle and noise of the iron ore industry that once took place here. Two of the most impressive ruins left are the winding house and Burrow Farm Engine House. The winding house would have housed the massive cables needed to haul the loaded carriages up the Incline railway. A short walk from the winding house, along the route of the old West Somerset mineral railway, you’ll find the engine house. It was built in around 1860 to house a Cornish pumping engine. Ralegh’s Cross (Raleigh on some maps) is on the B3224 15 miles NW of Taunton. Heading W past Ralegh’s Cross Inn, look for winding house on L; pull-in here on R just as road begins to get wooded again. For engine house; from the Incline, take path W across 3 fields, turn L back towards main road. Turn R then L along a minor road. Follow this to the footpath along the old railway to Burrow Farm 51.1013, -3.41723.","51.1010, -3.3963","[""Lovely walk"", ""Amazing wildlife""]","Exmoor, Somerset and West Dorset",8
St Michaels (Burrow Mump),"Although it may look like an ancient earthwork, Burrow Mump is actually a natural hill. It has been in use since around 937 and there has been a church since the 12th century. However the current church was built later, in the 15th century. It is a reasonable effort to get to the church up the hill which may have been a factor in its decline. After it had become a ruin there was an effort to raise money to save it, and among those who contributed were the politician William Pitt the Younger. However not enough money was raised as the project didn’t have much local support. It seems parishioners were growing tired of their church on the hill and didn’t want to go to the effort of climbing to the top anymore. The nearby King Alfred Pub serves fresh local food and sometimes plays live music. Follow the A361 between Taunton and Street. From Taunton head through the village, around the mound. Parking is immediately on R. From Street look out for a house on L with shutters just before the village; parking is immediately after this on L.","51.0704, -2.9161","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Religious site""]","Exmoor, Somerset and West Dorset",9
St Luke’s Chapel (Near Abbotsbury),"The 13th-century chapel at Long Bredy, near Abbotsbury, is simply enchanting. All that remains is a single arch, a number of gravestones (including one for Sir David Milne-Watson, a notable gas industrialist), a carved wooden cross and the old altar upon which candles are still placed. The chapel once served the medieval village of Sterte but was left to fall into ruin as far back as 1545. Heading W from Abbotsbury on B3157, take first R signed ‘Ashley Chase Only’. Private roads lead to St Luke’s so you need to park outside the boundaries of the estate to access it. Park at the triangle at the top of the hill 50.6825, -2.6280. Take footpath/lane to R, continue to pedestrian gate on R, follow path through woods to the church. It is a 10-15 minutes moderate walk.","50.6894, -2.6272","[""Modern ruin"", ""Dangerous"", ""Foraging"", ""Lovely walk"", ""Religious site""]","Exmoor, Somerset and West Dorset",10
Old Wardour Castle (Tisbury),"Set by a lake and woods, in rolling downland, this out-of-the-way castle has substantial remains, large grounds and romantic gardens to explore. It was built in the 14th century as a luxury fortified house but was badly damaged during the Civil War. By the 18th century, the castle was admired as a romantic ruin and became a feature in a landscaped garden. For the garden grotto, built around this time, stone was used from the castle and from nearby Tisbury stone circle. Today you can climb a spiral staircase to the top of the turrets for superb views over the countryside. The Wessex Ridgeway long distance path passes alongside the castle, offering excellent short strolls or long hikes in the area. Head S out of Tisbury past station. Take R fork and look for English Heritage sign 1½ miles on L. Car park is 70 metres from the castle.","51.0365, -2.0888","[""Good for picnics"", ""Dramatic"", ""Lovely walk"", ""Amazing wildlife"", ""Cycle path"", ""English Heritage""]","Dorset, Wiltshire & the New Forest",1
